City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,namsos,64.4662,11.4957,-1.97,74,48,4.63,NO,1702244876
1,thompson,55.7435,-97.8558,-15.91,85,75,1.03,CA,1702244784
2,polyarnyy,69.1989,33.4478,-11.8,86,97,8.25,RU,1702244876
3,lodja,-3.4833,23.4333,21.47,96,100,0.4,CD,1702244876
4,port elizabeth,-33.918,25.5701,15.73,91,0,1.03,ZA,1702244877
5,hermanus,-34.4187,19.2345,16.95,78,0,4.4,ZA,1702244877
6,ushuaia,-54.8,-68.3,7.81,57,0,8.75,AR,1702244833
7,shingu,33.7333,135.9833,12.86,74,91,1.93,JP,1702244877
8,atafu village,-8.5421,-172.5159,28.53,79,96,6.98,TK,1702244878
9,grande prairie,55.1667,-118.8027,4.1,60,75,5.66,CA,1702244849
10,wailua homesteads,22.0669,-159.378,26.44,78,20,4.63,US,1702244878
11,klyuchi,52.2667,79.1667,-21.33,86,21,2.47,RU,1702244878
12,taro,-8.3862,115.28,23.0,95,94,1.05,ID,1702244879
13,adamstown,-25.066,-130.1015,21.07,58,0,4.13,PN,1702244828
14,fale old settlement,-9.3852,-171.2468,28.58,79,100,5.22,TK,1702244879
15,infantes,38.7367,-3.0122,8.34,78,36,2.75,ES,1702244879
16,moose jaw,50.4001,-105.5344,2.14,55,12,4.63,CA,1702244879
17,olonkinbyen,70.9221,-8.7187,-4.96,56,46,2.78,SJ,1702244880
18,tevriz,57.509,72.4042,-28.43,96,79,2.84,RU,1702244880
19,puerto ayacucho,5.6639,-67.6236,29.27,73,58,0.96,VE,1702244880
20,puerto natales,-51.7236,-72.4875,12.25,54,40,5.14,CL,1702244785
21,vargem grande,-3.5431,-43.9158,24.36,94,96,2.07,BR,1702244881
22,tazovsky,67.4667,78.7,-27.09,96,100,4.61,RU,1702244881
23,puerto aysen,-45.4,-72.7,12.61,99,100,2.3,CL,1702244603
24,gubkinskiy,64.434,76.5026,-38.52,100,53,2.37,RU,1702244882
25,west island,-12.1568,96.8225,25.99,78,75,3.6,CC,1702244882
26,vilyuchinsk,52.9306,158.4028,2.15,99,100,4.46,RU,1702244882
27,matamey,13.4231,8.4749,19.52,25,49,6.38,NE,1702244883
28,kakata,6.53,-10.3517,25.49,93,83,1.03,LR,1702244883
29,puerto baquerizo moreno,-0.9,-89.6,27.55,69,20,7.2,EC,1702244883
30,hadibu,12.65,54.0333,24.73,71,45,5.18,YE,1702244884
31,albany,42.6001,-73.9662,13.3,90,100,0.89,US,1702244551
32,tamiahua,21.2667,-97.45,18.59,52,100,7.28,MX,1702244885
33,grytviken,-54.2811,-36.5092,5.62,90,100,6.68,GS,1702244832
34,gracemere,-23.4333,150.45,24.95,69,100,3.6,AU,1702244885
35,namibe,-15.1961,12.1522,22.83,76,81,2.28,AO,1702244886
36,vavuniya,8.7514,80.4971,23.07,98,100,1.24,LK,1702244886
37,codrington,-38.2667,141.9667,16.01,81,100,7.56,AU,1702244887
38,colonia,50.9333,6.95,12.16,79,75,4.63,DE,1702244847
39,port-aux-francais,-49.35,70.2167,3.56,78,56,9.91,TF,1702244887
40,invercargill,-46.4,168.35,14.77,49,44,5.13,NZ,1702244836
41,warora,20.2333,79.0,17.68,62,2,2.43,IN,1702244888
42,callao,-12.0667,-77.15,23.16,64,0,6.17,PE,1702244889
43,hammerfest,70.6634,23.6821,-4.75,68,0,6.17,NO,1702244889
44,shakawe,-18.3667,21.85,20.64,84,98,4.25,BW,1702244889
45,ribeira grande,38.5167,-28.7,18.22,72,40,8.75,PT,1702244890
46,dudinka,69.4058,86.1778,-26.88,97,100,5.36,RU,1702244827
47,douentza,14.9951,-2.9517,22.83,16,5,2.57,ML,1702244891
48,gizo,-8.103,156.8419,28.01,71,75,1.83,SB,1702244891
49,agat village,13.3886,144.6585,28.06,89,40,3.09,GU,1702244891
50,vorgashor,67.5833,63.95,-24.93,100,100,3.04,RU,1702244891
51,yellowknife,62.456,-114.3525,-13.02,98,100,9.39,CA,1702244892
52,georgetown,5.4112,100.3354,26.96,92,20,1.03,MY,1702244599
53,jamestown,42.097,-79.2353,4.77,79,100,3.09,US,1702244892
54,leua,48.2156,18.6071,1.94,100,86,1.36,SK,1702244893
55,mount pearl,47.5166,-52.7813,-0.58,88,40,1.03,CA,1702244690
56,edinburgh of the seven seas,-37.0676,-12.3116,13.65,69,97,6.48,SH,1702244835
57,howrah,22.5892,88.3103,17.0,82,0,0.0,IN,1702244838
58,misratah,32.3754,15.0925,19.04,63,72,12.47,LY,1702244894
59,saldanha,-33.0117,17.9442,17.03,87,0,7.69,ZA,1702244894
60,port saint john's,-31.6229,29.5448,18.11,85,100,1.42,ZA,1702244894
61,zayed city,24.3768,54.589,26.11,64,0,1.03,AE,1702244895
